,id,rank,champion,role,win_rate
0,0,Master,Neeko,Top,72.2%
1,1,Master,Nocturne,Jungle,66.7%
2,2,Master,Rumble,Top,65.8%
3,3,Master,Kog'Maw,Bot,62.2%
4,4,Master,Rumble,Mid,60.0%
5,5,Master,Xerath,Mid,59.7%
6,6,Master,Ryze,Mid,59.1%
7,7,Master,Heimerdinger,Bot,59.0%
8,8,Master,Talon,Mid,58.2%
9,9,Master,Darius,Top,58.0%
10,10,Master,Tryndamere,Top,57.7%
11,11,Master,Udyr,Jungle,57.6%
12,12,Master,Xin Zhao,Jungle,57.6%
13,13,Master,Cho'Gath,Top,57.3%
14,14,Master,Garen,Top,57.0%
15,15,Platinum plus,Gragas,Mid,56.4%
16,16,Master,Galio,Mid,56.3%
17,17,Master,Nasus,Top,55.9%
18,18,Master,Ashe,Bot,55.7%
19,19,Master,Illaoi,Top,55.7%
20,20,Master,Karthus,Jungle,55.6%
21,21,Master,Senna,Bot,55.6%
22,22,Platinum plus,Swain,Bot,55.5%
23,23,Master,Gragas,Jungle,55.5%
24,24,Platinum plus,Swain,Mid,55.3%
25,25,Master,Skarner,Jungle,55.1%
26,26,Platinum plus,Maokai,Support,54.8%
27,27,Master,Seraphine,Mid,54.7%
28,28,Platinum plus,Aurelion Sol,Mid,54.5%
29,29,Master,Zoe,Mid,54.3%
30,30,Master,Sona,Support,54.3%
31,31,Master,Sion,Top,54.2%
32,32,Master,Hecarim,Jungle,54.2%
33,33,Master,Kayle,Mid,54.1%
34,34,Master,Janna,Support,54.0%
35,35,Platinum plus,Heimerdinger,Mid,54.0%
36,36,Master,Diana,Mid,53.9%
37,37,Platinum plus,Malphite,Mid,53.9%
38,38,Master,Orianna,Mid,53.7%
39,39,Master,Maokai,Support,53.7%
40,40,Iron plus,Rammus,Jungler,53.6%
41,41,Platinum plus,Seraphine,Mid,53.6%
42,42,Master,Pantheon,Mid,53.6%
43,43,Master,Elise,Jungle,53.5%
44,44,Platinum plus,Fiddlesticks,Jungle,53.5%
45,45,Platinum plus,Ivern,Jungle,53.5%
46,46,Master,Vel'Koz,Mid,53.4%
47,47,Master,Wukong,Top,53.4%
48,48,Platinum plus,Annie,Mid,53.3%
49,49,Iron plus,Malzahar,Mid,53.3%
50,50,Platinum plus,Nunu & Willump,Jungle,53.3%
51,51,Platinum plus,Cho'Gath,Top,53.2%
52,52,Platinum plus,Anivia,Mid,53.2%
53,53,Iron plus,Skarner,Jungler,53.2%
54,54,Master,Kindred,Jungle,53.1%
55,55,Master,Olaf,Jungle,53.0%
56,56,Master,Blitzcrank,Support,52.9%
57,57,Iron plus,Maokai,Support,52.9%
58,58,Iron plus,Swain,Support,52.9%
59,59,Master,Volibear,Top,52.8%
60,60,Iron plus,Elise,Jungler,52.8%
61,61,Platinum plus,Malzahar,Mid,52.8%
62,62,Master,Nunu & Willump,Jungle,52.8%
63,63,Platinum plus,Viktor,Mid,52.7%
64,64,Platinum plus,Quinn,Top,52.7%
65,65,Master,Rakan,Support,52.7%
66,66,Iron plus,Vi,Jungler,52.7%
67,67,Platinum plus,Seraphine,Support,52.6%
68,68,Platinum plus,Pantheon,Mid,52.6%
69,69,Platinum plus,Rammus,Jungle,52.6%
70,70,Platinum plus,Udyr,Jungle,52.6%
71,71,Platinum plus,Fizz,Mid,52.6%
72,72,Platinum plus,Elise,Jungle,52.6%
73,73,Master,Shaco,Support,52.6%
74,74,Master,Kalista,Bot,52.6%
75,75,Platinum plus,Zilean,Support,52.6%
76,76,Iron plus,Fizz,Mid,52.5%
77,77,Platinum plus,Garen,Top,52.5%
78,78,Iron plus,Anivia,Mid,52.5%
79,79,Master,Jayce,Top,52.5%
80,80,Iron plus,Viktor,Mid,52.4%
81,81,Iron plus,Nami,Support,52.3%
