,Rank,Champion,Role,Win_Rate
0,Iron plus,Rammus,Jungler,53.6%
1,Iron plus,Malzahar,Mid,53.3%
2,Iron plus,Skarner,Jungler,53.2%
3,Iron plus,Swain,Support,52.9%
4,Iron plus,Maokai,Support,52.9%
5,Iron plus,Elise,Jungler,52.8%
6,Iron plus,Vi,Jungler,52.7%
7,Iron plus,Anivia,Mid,52.5%
8,Iron plus,Fizz,Mid,52.5%
9,Iron plus,Viktor,Mid,52.4%
10,Iron plus,Brand,Support,52.3%
11,Iron plus,Ivern,Jungler,52.3%
12,Iron plus,Nami,Support,52.3%
13,Iron plus,Jhin,AD Carry,52.3%
14,Iron plus,Malphite,"Top, Support",52.2%
15,Iron plus,Yorick,Top,52.2%
16,Iron plus,Nasus,Top,52.1%
17,Iron plus,Annie,Mid,52.1%
18,Iron plus,Kled,Top,52.1%
19,Iron plus,Urgot,Top,52.0%
20,Iron plus,Diana,Mid,51.9%
21,Iron plus,Nunu & Willump,Jungler,51.9%
22,Iron plus,Sion,Top,51.9%
23,Iron plus,Ekko,"Jungler, Mid",51.9%
24,Iron plus,Fiddlesticks,Jungler,51.9%
25,Iron plus,Zilean,Support,51.8%
26,Iron plus,Tristana,AD Carry,51.8%
27,Iron plus,Leona,Support,51.8%
28,Iron plus,Udyr,Jungler,51.7%
29,Iron plus,Zyra,Support,51.7%
30,Iron plus,Seraphine,Support,51.7%
31,Iron plus,Wukong,"Top, Jungler",51.7%
32,Iron plus,Garen,Top,51.5%
33,Iron plus,Teemo,Top,51.5%
34,Iron plus,Amumu,Jungler,51.4%
35,Iron plus,Galio,"Mid, Support",51.3%
36,Iron plus,Miss Fortune,AD Carry,51.3%
37,Iron plus,Heimerdinger,"Mid, Top",51.3%
38,Iron plus,Quinn,Top,51.2%
39,Iron plus,Olaf,Jungler,51.2%
40,Iron plus,Janna,Support,51.2%
41,Iron plus,Master Yi,Jungler,51.2%
42,Iron plus,Alistar,Support,51.1%
43,Iron plus,Sona,Support,51.1%
44,Iron plus,Hecarim,Jungler,51.1%
45,Iron plus,Lulu,Support,51.1%
46,Iron plus,Kai'Sa,AD Carry,51.0%
47,Iron plus,Shen,Top,50.9%
48,Iron plus,Kha'Zix,Jungler,50.9%
49,Iron plus,Warwick,Jungler,50.9%
50,Iron plus,Vayne,"AD Carry, Top",50.9%
51,Iron plus,Illaoi,Top,50.9%
52,Iron plus,Nautilus,Support,50.8%
53,Iron plus,Ahri,Mid,50.7%
54,Iron plus,Vel'Koz,"Support, Mid",50.7%
55,Iron plus,Sejuani,Jungler,50.7%
56,Iron plus,Bard,Support,50.7%
57,Iron plus,Morgana,Support,50.7%
58,Iron plus,Kennen,Top,50.7%
59,Iron plus,Neeko,"Mid, Support",50.6%
60,Iron plus,Darius,Top,50.6%
61,Iron plus,Xerath,"Support, Mid",50.6%
62,Iron plus,Cho'Gath,Top,50.6%
63,Iron plus,Taric,Support,50.5%
64,Iron plus,Ornn,Top,50.5%
65,Iron plus,Pantheon,"Support, Mid, Top",50.5%
66,Iron plus,Kayle,Top,50.5%
67,Iron plus,Volibear,"Top, Jungler",50.5%
68,Iron plus,Poppy,"Top, Jungler",50.4%
69,Iron plus,Blitzcrank,Support,50.4%
70,Iron plus,Shaco,"Jungler, Support",50.4%
71,Iron plus,Rell,Support,50.4%
72,Iron plus,Lissandra,Mid,50.3%
73,Iron plus,Camille,Top,50.2%
74,Iron plus,Braum,Support,50.1%
75,Iron plus,Karthus,Jungler,50.1%
76,Iron plus,Aurelion Sol,Mid,50.1%
77,Iron plus,Ziggs,Mid,50.0%
