,Rank,Champion,Role,Win_Rate
0,Master,Neeko,Top,72.2%
1,Master,Nocturne,Jungle,66.7%
2,Master,Rumble,Top,65.8%
3,Master,Kog'Maw,Bot,62.2%
4,Master,Rumble,Mid,60.0%
5,Master,Xerath,Mid,59.7%
6,Master,Ryze,Mid,59.1%
7,Master,Heimerdinger,Bot,59.0%
8,Master,Talon,Mid,58.2%
9,Master,Darius,Top,58.0%
10,Master,Tryndamere,Top,57.7%
11,Master,Xin Zhao,Jungle,57.6%
12,Master,Udyr,Jungle,57.6%
13,Master,Cho'Gath,Top,57.3%
14,Master,Garen,Top,57.0%
15,Master,Galio,Mid,56.3%
16,Master,Nasus,Top,55.9%
17,Master,Ashe,Bot,55.7%
18,Master,Illaoi,Top,55.7%
19,Master,Karthus,Jungle,55.6%
20,Master,Senna,Bot,55.6%
21,Master,Gragas,Jungle,55.5%
22,Master,Skarner,Jungle,55.1%
23,Master,Seraphine,Mid,54.7%
24,Master,Sona,Support,54.3%
25,Master,Zoe,Mid,54.3%
26,Master,Sion,Top,54.2%
27,Master,Hecarim,Jungle,54.2%
28,Master,Kayle,Mid,54.1%
29,Master,Janna,Support,54.0%
30,Master,Diana,Mid,53.9%
31,Master,Orianna,Mid,53.7%
32,Master,Maokai,Support,53.7%
33,Master,Pantheon,Mid,53.6%
34,Master,Elise,Jungle,53.5%
35,Master,Wukong,Top,53.4%
36,Master,Vel'Koz,Mid,53.4%
37,Master,Kindred,Jungle,53.1%
38,Master,Olaf,Jungle,53.0%
39,Master,Blitzcrank,Support,52.9%
40,Master,Nunu & Willump,Jungle,52.8%
41,Master,Volibear,Top,52.8%
42,Master,Rakan,Support,52.7%
43,Master,Kalista,Bot,52.6%
44,Master,Shaco,Support,52.6%
45,Master,Jayce,Top,52.5%
46,Master,Twitch,Bot,52.2%
47,Master,Galio,Support,52.1%
48,Master,Alistar,Support,52.0%
49,Master,Evelynn,Jungle,52.0%
50,Master,Katarina,Mid,52.0%
51,Master,Xayah,Bot,51.9%
52,Master,Bard,Support,51.8%
53,Master,Ekko,Mid,51.7%
54,Master,Gnar,Top,51.6%
55,Master,Miss Fortune,Bot,51.6%
56,Master,Rengar,Top,51.5%
57,Master,Kai'Sa,Bot,51.4%
58,Master,Quinn,Top,51.4%
59,Master,Pantheon,Jungle,51.3%
60,Master,Caitlyn,Bot,51.3%
61,Master,Thresh,Support,51.3%
62,Master,Camille,Top,51.3%
63,Master,Pantheon,Support,51.1%
64,Master,Twisted Fate,Mid,51.1%
65,Master,Annie,Mid,51.0%
66,Master,Seraphine,Support,51.0%
67,Master,Ahri,Mid,50.9%
68,Master,Yorick,Top,50.9%
69,Master,Sivir,Bot,50.9%
70,Master,Jhin,Bot,50.7%
71,Master,Swain,Bot,50.6%
72,Master,Lissandra,Mid,50.6%
73,Master,Urgot,Top,50.5%
74,Master,Irelia,Top,50.4%
75,Master,Zed,Mid,50.4%
76,Master,Yuumi,Support,50.3%
77,Master,Nami,Support,50.3%
78,Master,Malphite,Top,50.3%
79,Master,Rell,Support,50.2%
80,Master,Morgana,Support,50.1%
81,Master,Karthus,Bot,50.0%
82,Master,Warwick,Top,50.0%
83,Master,Tristana,Bot,50.0%
84,Master,Zilean,Support,50.0%
85,Master,Viktor,Mid,50.0%
86,Master,Kassadin,Mid,49.8%
87,Master,Vladimir,Mid,49.7%
88,Master,Lillia,Jungle,49.7%
89,Master,Draven,Bot,49.6%
90,Master,Gragas,Support,49.6%
91,Master,Jax,Top,49.6%
92,Master,Vayne,Bot,49.5%
93,Master,Nautilus,Support,49.5%
94,Master,Braum,Support,49.4%
95,Master,Swain,Support,49.4%
96,Master,Pantheon,Top,49.4%
97,Master,Taric,Support,49.4%
98,Master,Zac,Jungle,49.3%
99,Master,Lee Sin,Jungle,49.3%
100,Master,Riven,Top,49.3%
