,Rank,Champion,Role,Win_Rate
0,Platinum plus,Gragas,Mid,56.4%
1,Platinum plus,Swain,Bot,55.5%
2,Platinum plus,Swain,Mid,55.3%
3,Platinum plus,Maokai,Support,54.8%
4,Platinum plus,Aurelion Sol,Mid,54.5%
5,Platinum plus,Heimerdinger,Mid,54.0%
6,Platinum plus,Malphite,Mid,53.9%
7,Platinum plus,Seraphine,Mid,53.6%
8,Platinum plus,Fiddlesticks,Jungle,53.5%
9,Platinum plus,Ivern,Jungle,53.5%
10,Platinum plus,Annie,Mid,53.3%
11,Platinum plus,Nunu & Willump,Jungle,53.3%
12,Platinum plus,Cho'Gath,Top,53.2%
13,Platinum plus,Anivia,Mid,53.2%
14,Platinum plus,Malzahar,Mid,52.8%
15,Platinum plus,Quinn,Top,52.7%
16,Platinum plus,Viktor,Mid,52.7%
17,Platinum plus,Elise,Jungle,52.6%
18,Platinum plus,Fizz,Mid,52.6%
19,Platinum plus,Udyr,Jungle,52.6%
20,Platinum plus,Zilean,Support,52.6%
21,Platinum plus,Seraphine,Support,52.6%
22,Platinum plus,Pantheon,Mid,52.6%
23,Platinum plus,Rammus,Jungle,52.6%
24,Platinum plus,Garen,Top,52.5%
25,Platinum plus,Diana,Mid,52.3%
26,Platinum plus,Olaf,Jungle,52.3%
27,Platinum plus,Hecarim,Jungle,52.2%
28,Platinum plus,Jhin,Bot,52.2%
29,Platinum plus,Darius,Top,52.2%
30,Platinum plus,Ekko,Mid,52.1%
31,Platinum plus,Shaco,Support,52.0%
32,Platinum plus,Karthus,Jungle,52.0%
33,Platinum plus,Galio,Mid,52.0%
34,Platinum plus,Nasus,Top,52.0%
35,Platinum plus,Skarner,Jungle,51.9%
36,Platinum plus,Bard,Support,51.9%
37,Platinum plus,Heimerdinger,Top,51.8%
38,Platinum plus,Wukong,Top,51.8%
39,Platinum plus,Janna,Support,51.7%
40,Platinum plus,Rumble,Mid,51.7%
41,Platinum plus,Brand,Mid,51.7%
42,Platinum plus,Vayne,Bot,51.6%
43,Platinum plus,Rell,Support,51.6%
44,Platinum plus,Galio,Support,51.6%
45,Platinum plus,Vel'Koz,Mid,51.5%
46,Platinum plus,Kled,Top,51.5%
47,Platinum plus,Camille,Top,51.5%
48,Platinum plus,Kha'Zix,Jungle,51.5%
49,Platinum plus,Volibear,Top,51.4%
50,Platinum plus,Corki,Mid,51.4%
51,Platinum plus,Malphite,Top,51.4%
52,Platinum plus,Pantheon,Top,51.3%
53,Platinum plus,Cassiopeia,Mid,51.3%
54,Platinum plus,Alistar,Support,51.2%
55,Platinum plus,Ahri,Mid,51.2%
56,Platinum plus,Miss Fortune,Bot,51.2%
57,Platinum plus,Kog'Maw,Bot,51.2%
58,Platinum plus,Nami,Support,51.2%
59,Platinum plus,Pantheon,Jungle,51.0%
60,Platinum plus,Ekko,Jungle,51.0%
61,Platinum plus,Neeko,Mid,51.0%
62,Platinum plus,Sion,Top,51.0%
63,Platinum plus,Urgot,Top,51.0%
64,Platinum plus,Sona,Support,51.0%
65,Platinum plus,Tristana,Bot,50.9%
66,Platinum plus,Illaoi,Top,50.9%
67,Platinum plus,Ornn,Top,50.9%
68,Platinum plus,Twitch,Bot,50.8%
69,Platinum plus,Vladimir,Mid,50.8%
70,Platinum plus,Ziggs,Mid,50.8%
71,Platinum plus,Kai'Sa,Bot,50.8%
72,Platinum plus,Leona,Support,50.8%
73,Platinum plus,Rengar,Top,50.7%
74,Platinum plus,Vi,Jungle,50.7%
75,Platinum plus,Yorick,Top,50.7%
76,Platinum plus,Poppy,Top,50.6%
77,Platinum plus,Thresh,Support,50.6%
78,Platinum plus,Lissandra,Mid,50.6%
79,Platinum plus,Vel'Koz,Support,50.5%
80,Platinum plus,Evelynn,Jungle,50.5%
81,Platinum plus,Warwick,Top,50.5%
82,Platinum plus,Kennen,Top,50.4%
83,Platinum plus,Gragas,Jungle,50.4%
84,Platinum plus,Xerath,Mid,50.4%
85,Platinum plus,Gnar,Top,50.4%
86,Platinum plus,Singed,Top,50.4%
87,Platinum plus,Blitzcrank,Support,50.4%
88,Platinum plus,Maokai,Top,50.3%
89,Platinum plus,Lulu,Support,50.3%
90,Platinum plus,Taliyah,Jungle,50.2%
91,Platinum plus,Kassadin,Mid,50.2%
92,Platinum plus,Teemo,Top,50.1%
93,Platinum plus,Gragas,Top,50.1%
94,Platinum plus,Lux,Mid,50.1%
95,Platinum plus,Twisted Fate,Mid,50.1%
96,Platinum plus,Sejuani,Jungle,50.0%
97,Platinum plus,Wukong,Jungle,50.0%
98,Platinum plus,Kayle,Top,49.9%
99,Platinum plus,Shen,Top,49.9%
100,Platinum plus,Rek'Sai,Jungle,49.9%
101,Platinum plus,Ashe,Bot,49.9%
102,Platinum plus,Brand,Support,49.9%
103,Platinum plus,Morgana,Support,49.8%
104,Platinum plus,Yuumi,Support,49.8%
105,Platinum plus,Xin Zhao,Jungle,49.8%
106,Platinum plus,Poppy,Jungle,49.8%
107,Platinum plus,Amumu,Jungle,49.7%
108,Platinum plus,Jinx,Bot,49.7%
109,Platinum plus,Talon,Mid,49.6%
110,Platinum plus,Draven,Bot,49.6%
111,Platinum plus,Kayn,Jungle,49.5%
112,Platinum plus,Nautilus,Support,49.5%
113,Platinum plus,Swain,Support,49.5%
114,Platinum plus,Warwick,Jungle,49.4%
115,Platinum plus,Sivir,Bot,49.4%
116,Platinum plus,Taric,Support,49.4%
117,Platinum plus,Jax,Top,49.4%
118,Platinum plus,Vladimir,Top,49.2%
119,Platinum plus,Riven,Top,49.1%
120,Platinum plus,Jayce,Mid,49.1%
121,Platinum plus,Braum,Support,49.0%
122,Platinum plus,Zyra,Support,49.0%
123,Platinum plus,Katarina,Mid,49.0%
124,Platinum plus,Zed,Mid,49.0%
125,Platinum plus,Jarvan IV,Jungle,49.0%
126,Platinum plus,Lux,Support,48.9%
127,Platinum plus,Yone,Mid,48.9%
128,Platinum plus,Rakan,Support,48.9%
129,Platinum plus,Shaco,Jungle,48.9%
130,Platinum plus,Jayce,Top,48.8%
131,Platinum plus,Sett,Top,48.8%
132,Platinum plus,Ashe,Support,48.8%
133,Platinum plus,Fiora,Top,48.7%
134,Platinum plus,Mordekaiser,Top,48.7%
135,Platinum plus,Zac,Jungle,48.7%
136,Platinum plus,Xerath,Support,48.6%
137,Platinum plus,Aatrox,Top,48.6%
138,Platinum plus,Sylas,Top,48.6%
139,Platinum plus,Volibear,Jungle,48.5%
140,Platinum plus,Tryndamere,Top,48.5%
141,Platinum plus,Veigar,Mid,48.4%
142,Platinum plus,Qiyana,Mid,48.3%
143,Platinum plus,Master Yi,Jungle,48.3%
144,Platinum plus,Lucian,Bot,48.1%
145,Platinum plus,Sylas,Mid,48.1%
146,Platinum plus,Yasuo,Mid,48.1%
147,Platinum plus,Zoe,Mid,48.1%
148,Platinum plus,Renekton,Top,48.0%
149,Platinum plus,Yone,Top,47.9%
150,Platinum plus,Lillia,Jungle,47.9%
151,Platinum plus,Nidalee,Jungle,47.8%
152,Platinum plus,Karma,Support,47.8%
153,Platinum plus,Gangplank,Top,47.8%
154,Platinum plus,Orianna,Mid,47.8%
155,Platinum plus,Rumble,Top,47.7%
156,Platinum plus,Ryze,Top,47.7%
