,Rank,Champion,Role,Win_Rate
0,Master,Neeko,Top,74.3%
1,Master,Rumble,Top,66.7%
2,Master,Nocturne,Jungle,66.7%
3,Master,Kog'Maw,Bot,61.4%
4,Master,Rumble,Mid,60.1%
5,Master,Xin Zhao,Jungle,60.0%
6,Master,Xerath,Mid,59.7%
7,Master,Talon,Mid,57.9%
8,Master,Ryze,Mid,57.7%
9,Master,Tryndamere,Top,57.7%
10,Master,Galio,Mid,56.9%
11,Master,Udyr,Jungle,56.9%
12,Master,Nasus,Top,56.6%
13,Platinum plus,Gragas,Mid,56.3%
14,Master,Darius,Top,56.2%
15,Master,Cho'Gath,Top,56.0%
16,Master,Ashe,Bot,56.0%
17,Master,Garen,Top,55.9%
18,Master,Seraphine,Mid,55.7%
19,Master,Heimerdinger,Bot,55.6%
20,Platinum plus,Swain,Bot,55.4%
21,Platinum plus,Swain,Mid,55.2%
22,Master,Orianna,Mid,55.0%
23,Master,Karthus,Jungle,54.9%
24,Platinum plus,Maokai,Support,54.8%
25,Platinum plus,Aurelion Sol,Mid,54.8%
26,Master,Hecarim,Jungle,54.5%
27,Master,Senna,Bot,54.4%
28,Master,Gragas,Jungle,54.3%
29,Platinum plus,Heimerdinger,Mid,54.2%
30,Master,Maokai,Support,54.2%
31,Master,Diana,Mid,54.0%
32,Master,Illaoi,Top,54.0%
33,Master,Elise,Jungle,53.8%
34,Master,Pantheon,Mid,53.8%
35,Master,Janna,Support,53.7%
36,Iron plus,Rammus,Jungler,53.6%
37,Platinum plus,Malphite,Mid,53.6%
38,Master,Zoe,Mid,53.6%
39,Platinum plus,Seraphine,Mid,53.5%
40,Platinum plus,Ivern,Jungle,53.4%
41,Platinum plus,Annie,Mid,53.4%
42,Platinum plus,Fiddlesticks,Jungle,53.4%
43,Master,Lissandra,Mid,53.4%
44,Master,Skarner,Jungle,53.4%
45,Iron plus,Malzahar,Mid,53.3%
46,Platinum plus,Cho'Gath,Top,53.3%
47,Master,Sona,Support,53.2%
48,Master,Urgot,Top,53.2%
49,Platinum plus,Anivia,Mid,53.2%
50,Iron plus,Skarner,Jungler,53.2%
51,Master,Wukong,Top,53.1%
52,Master,Kindred,Jungle,53.1%
53,Master,Vel'Koz,Mid,53.0%
54,Master,Jayce,Top,53.0%
55,Master,Sion,Top,53.0%
56,Master,Volibear,Top,53.0%
57,Platinum plus,Nunu & Willump,Jungle,53.0%
58,Master,Kayle,Mid,52.9%
59,Platinum plus,Malzahar,Mid,52.9%
60,Iron plus,Swain,Support,52.9%
61,Iron plus,Maokai,Support,52.9%
62,Platinum plus,Fizz,Mid,52.8%
63,Master,Gnar,Top,52.8%
64,Master,Kalista,Bot,52.8%
65,Master,Sivir,Bot,52.8%
66,Master,Olaf,Jungle,52.8%
67,Iron plus,Elise,Jungler,52.8%
68,Platinum plus,Viktor,Mid,52.7%
69,Master,Katarina,Mid,52.7%
70,Iron plus,Vi,Jungler,52.7%
71,Platinum plus,Rammus,Jungle,52.7%
72,Platinum plus,Elise,Jungle,52.7%
73,Master,Shaco,Support,52.6%
74,Platinum plus,Pantheon,Mid,52.5%
75,Platinum plus,Seraphine,Support,52.5%
76,Platinum plus,Zilean,Support,52.5%
77,Platinum plus,Quinn,Top,52.5%
78,Platinum plus,Udyr,Jungle,52.5%
79,Iron plus,Fizz,Mid,52.5%
80,Iron plus,Anivia,Mid,52.5%
81,Iron plus,Viktor,Mid,52.4%
82,Platinum plus,Garen,Top,52.4%
83,Platinum plus,Olaf,Jungle,52.4%
84,Master,Karthus,Bot,52.3%
85,Platinum plus,Diana,Mid,52.3%
86,Iron plus,Brand,Support,52.3%
87,Iron plus,Ivern,Jungler,52.3%
88,Iron plus,Nami,Support,52.3%
89,Iron plus,Jhin,AD Carry,52.3%
90,Platinum plus,Darius,Top,52.3%
91,Iron plus,Malphite,"Top, Support",52.2%
92,Iron plus,Yorick,Top,52.2%
93,Master,Rengar,Top,52.2%
94,Master,Pantheon,Support,52.2%
95,Platinum plus,Jhin,Bot,52.2%
96,Platinum plus,Ekko,Mid,52.2%
97,Platinum plus,Hecarim,Jungle,52.2%
98,Master,Caitlyn,Bot,52.1%
99,Iron plus,Annie,Mid,52.1%
100,Iron plus,Kled,Top,52.1%
101,Master,Blitzcrank,Support,52.1%
102,Iron plus,Nasus,Top,52.1%
103,Master,Twitch,Bot,52.0%
104,Iron plus,Urgot,Top,52.0%
105,Master,Rakan,Support,52.0%
106,Master,Nunu & Willump,Jungle,52.0%
107,Platinum plus,Nasus,Top,52.0%
108,Platinum plus,Karthus,Jungle,52.0%
109,Master,Quinn,Top,51.9%
110,Iron plus,Sion,Top,51.9%
111,Master,Warwick,Top,51.9%
112,Platinum plus,Bard,Support,51.9%
113,Iron plus,Diana,Mid,51.9%
114,Iron plus,Nunu & Willump,Jungler,51.9%
