,Rank,Champion,Role,Win_Rate
0,Master,Neeko,Top,74.3%
1,Master,Rumble,Top,66.7%
2,Master,Nocturne,Jungle,66.7%
3,Master,Kog'Maw,Bot,61.4%
4,Master,Rumble,Mid,60.1%
5,Master,Xin Zhao,Jungle,60.0%
6,Master,Xerath,Mid,59.7%
7,Master,Talon,Mid,57.9%
8,Master,Tryndamere,Top,57.7%
9,Master,Ryze,Mid,57.7%
10,Master,Udyr,Jungle,56.9%
11,Master,Galio,Mid,56.9%
12,Master,Nasus,Top,56.6%
13,Master,Darius,Top,56.2%
14,Master,Ashe,Bot,56.0%
15,Master,Cho'Gath,Top,56.0%
16,Master,Garen,Top,55.9%
17,Master,Seraphine,Mid,55.7%
18,Master,Heimerdinger,Bot,55.6%
19,Master,Orianna,Mid,55.0%
20,Master,Karthus,Jungle,54.9%
21,Master,Hecarim,Jungle,54.5%
22,Master,Senna,Bot,54.4%
23,Master,Gragas,Jungle,54.3%
24,Master,Maokai,Support,54.2%
25,Master,Illaoi,Top,54.0%
26,Master,Diana,Mid,54.0%
27,Master,Pantheon,Mid,53.8%
28,Master,Elise,Jungle,53.8%
29,Master,Janna,Support,53.7%
30,Master,Zoe,Mid,53.6%
31,Master,Skarner,Jungle,53.4%
32,Master,Lissandra,Mid,53.4%
33,Master,Urgot,Top,53.2%
34,Master,Sona,Support,53.2%
35,Master,Wukong,Top,53.1%
36,Master,Kindred,Jungle,53.1%
37,Master,Vel'Koz,Mid,53.0%
38,Master,Jayce,Top,53.0%
39,Master,Sion,Top,53.0%
40,Master,Volibear,Top,53.0%
41,Master,Kayle,Mid,52.9%
42,Master,Kalista,Bot,52.8%
43,Master,Sivir,Bot,52.8%
44,Master,Gnar,Top,52.8%
45,Master,Olaf,Jungle,52.8%
46,Master,Katarina,Mid,52.7%
47,Master,Shaco,Support,52.6%
48,Master,Karthus,Bot,52.3%
49,Master,Rengar,Top,52.2%
50,Master,Pantheon,Support,52.2%
51,Master,Caitlyn,Bot,52.1%
52,Master,Blitzcrank,Support,52.1%
53,Master,Nunu & Willump,Jungle,52.0%
54,Master,Rakan,Support,52.0%
55,Master,Twitch,Bot,52.0%
56,Master,Warwick,Top,51.9%
57,Master,Quinn,Top,51.9%
58,Master,Xayah,Bot,51.8%
59,Master,Pantheon,Jungle,51.8%
60,Master,Gragas,Support,51.7%
61,Master,Ahri,Mid,51.7%
62,Master,Alistar,Support,51.7%
63,Master,Evelynn,Jungle,51.7%
64,Master,Camille,Top,51.5%
65,Master,Miss Fortune,Bot,51.5%
66,Master,Galio,Support,51.4%
67,Master,Ekko,Mid,51.3%
68,Master,Morgana,Support,51.3%
69,Master,Twisted Fate,Mid,51.2%
70,Master,Bard,Support,51.2%
71,Master,Zed,Mid,51.2%
72,Master,Kai'Sa,Bot,51.1%
73,Master,Viktor,Mid,51.1%
74,Master,Nami,Support,51.1%
75,Master,Jhin,Bot,51.0%
76,Master,Thresh,Support,51.0%
77,Master,Tristana,Bot,50.9%
78,Master,Jax,Top,50.8%
79,Master,Yuumi,Support,50.8%
80,Master,Annie,Mid,50.6%
81,Master,Neeko,Mid,50.6%
82,Master,Zilean,Support,50.5%
83,Master,Malzahar,Mid,50.4%
84,Master,Qiyana,Mid,50.4%
85,Master,Seraphine,Support,50.4%
86,Master,Renekton,Top,50.0%
87,Master,Swain,Support,50.0%
88,Master,Kassadin,Mid,49.8%
89,Master,Braum,Support,49.7%
90,Master,Irelia,Top,49.7%
91,Master,Malphite,Top,49.7%
92,Master,Nautilus,Support,49.7%
93,Master,Rengar,Jungle,49.7%
94,Master,Lillia,Jungle,49.7%
95,Master,Rell,Support,49.6%
96,Master,Vladimir,Mid,49.6%
97,Master,Fizz,Mid,49.6%
98,Master,Zac,Jungle,49.5%
99,Master,Brand,Support,49.4%
100,Master,Taric,Support,49.3%
101,Master,Swain,Bot,49.3%
102,Master,Lucian,Bot,49.3%
103,Master,Pyke,Support,49.3%
104,Master,Taliyah,Jungle,49.3%
105,Master,Swain,Mid,49.1%
106,Master,Syndra,Mid,49.0%
107,Master,Vayne,Bot,49.0%
108,Master,Ekko,Jungle,48.9%
109,Master,Pantheon,Top,48.8%
110,Master,Riven,Top,48.8%
111,Master,Rek'Sai,Jungle,48.8%
112,Master,Nidalee,Jungle,48.6%
113,Master,Lee Sin,Jungle,48.6%
114,Master,Kayn,Jungle,48.6%
115,Master,Aurelion Sol,Mid,48.6%
116,Master,Zilean,Mid,48.6%
117,Master,Corki,Mid,48.6%
118,Master,Yasuo,Bot,48.4%
119,Master,Zyra,Support,48.4%
120,Master,Master Yi,Jungle,48.4%
121,Master,Draven,Bot,48.3%
122,Master,Shen,Top,48.3%
123,Master,Fiora,Top,48.2%
124,Master,Kha'Zix,Jungle,48.2%
125,Master,Fiddlesticks,Jungle,48.2%
