,Rank,Champion,Role,Win_Rate
0,Platinum plus,Gragas,Mid,56.3%
1,Platinum plus,Swain,Bot,55.4%
2,Platinum plus,Swain,Mid,55.2%
3,Platinum plus,Maokai,Support,54.8%
4,Platinum plus,Aurelion Sol,Mid,54.8%
5,Platinum plus,Heimerdinger,Mid,54.2%
6,Platinum plus,Malphite,Mid,53.6%
7,Platinum plus,Seraphine,Mid,53.5%
8,Platinum plus,Fiddlesticks,Jungle,53.4%
9,Platinum plus,Ivern,Jungle,53.4%
10,Platinum plus,Annie,Mid,53.4%
11,Platinum plus,Cho'Gath,Top,53.3%
12,Platinum plus,Anivia,Mid,53.2%
13,Platinum plus,Nunu & Willump,Jungle,53.0%
14,Platinum plus,Malzahar,Mid,52.9%
15,Platinum plus,Fizz,Mid,52.8%
16,Platinum plus,Viktor,Mid,52.7%
17,Platinum plus,Rammus,Jungle,52.7%
18,Platinum plus,Elise,Jungle,52.7%
19,Platinum plus,Pantheon,Mid,52.5%
20,Platinum plus,Udyr,Jungle,52.5%
21,Platinum plus,Quinn,Top,52.5%
22,Platinum plus,Zilean,Support,52.5%
23,Platinum plus,Seraphine,Support,52.5%
24,Platinum plus,Garen,Top,52.4%
25,Platinum plus,Olaf,Jungle,52.4%
26,Platinum plus,Diana,Mid,52.3%
27,Platinum plus,Darius,Top,52.3%
28,Platinum plus,Hecarim,Jungle,52.2%
29,Platinum plus,Ekko,Mid,52.2%
30,Platinum plus,Jhin,Bot,52.2%
31,Platinum plus,Karthus,Jungle,52.0%
32,Platinum plus,Nasus,Top,52.0%
33,Platinum plus,Bard,Support,51.9%
34,Platinum plus,Wukong,Top,51.9%
35,Platinum plus,Galio,Mid,51.9%
36,Platinum plus,Skarner,Jungle,51.8%
37,Platinum plus,Janna,Support,51.8%
38,Platinum plus,Shaco,Support,51.8%
39,Platinum plus,Heimerdinger,Top,51.8%
40,Platinum plus,Vel'Koz,Mid,51.7%
41,Platinum plus,Brand,Mid,51.7%
42,Platinum plus,Rell,Support,51.7%
43,Platinum plus,Kha'Zix,Jungle,51.6%
44,Platinum plus,Kled,Top,51.6%
45,Platinum plus,Vayne,Bot,51.6%
46,Platinum plus,Corki,Mid,51.5%
47,Platinum plus,Galio,Support,51.5%
48,Platinum plus,Volibear,Top,51.5%
49,Platinum plus,Camille,Top,51.5%
50,Platinum plus,Pantheon,Top,51.4%
51,Platinum plus,Rumble,Mid,51.4%
52,Platinum plus,Malphite,Top,51.3%
